time,amount
11/24/2015,10347.05388
11/25/2015,10241.78799
11/26/2015,10433.8577
11/27/2015,11323.59632
11/28/2015,11833.83719
11/29/2015,11604.58031
11/30/2015,11997.49235
12/1/2015,12223.40663
12/2/2015,12504.98982
12/3/2015,12405.07526
12/4/2015,12869.99626
12/5/2015,12723.58618
12/6/2015,12646.34499
12/7/2015,13437.10604
12/8/2015,14116.53599
12/9/2015,14220.3015
12/10/2015,13615.29147
12/11/2015,14095.78366
12/12/2015,14141.11141
12/13/2015,14163.33027
12/14/2015,13874.55135
12/15/2015,14050.10799
12/16/2015,14460.88907
12/17/2015,15503.67236
12/18/2015,16637.79121
12/19/2015,16631.41226
12/20/2015,16089.86886
12/21/2015,16380.82767
12/22/2015,16717.62202
12/23/2015,17091.75191
12/24/2015,16452.71733
12/25/2015,16119.18496
12/26/2015,14180.15479
12/27/2015,12468.29348
12/28/2015,11486.10104
12/29/2015,11469.91079
12/30/2015,11463.36748
12/31/2015,11484.99304
1/1/2016,11783.95411
1/2/2016,11610.12788
1/3/2016,11087.13716
1/4/2016,11229.17756
1/5/2016,11241.3649
1/6/2016,11216.77583
1/7/2016,11153.16818
1/8/2016,11682.20835
1/9/2016,11784.80785
1/10/2016,11480.36426
1/11/2016,11720.9649
1/12/2016,11834.28941
1/13/2016,11771.89834
1/14/2016,11587.98842
1/15/2016,11899.0801
1/16/2016,11684.3503
1/17/2016,11046.45598
1/18/2016,10926.33867
1/19/2016,10900.13534
1/20/2016,10863.02214
1/21/2016,10856.15725
1/22/2016,11451.46119
1/23/2016,11663.66429
1/24/2016,11376.55357
1/25/2016,11447.77833
1/26/2016,11363.42614
1/27/2016,11335.64718
1/28/2016,11352.35709
1/29/2016,11919.68437
1/30/2016,11930.12883
1/31/2016,11483.04642
2/1/2016,11595.88947
2/2/2016,11835.84379
2/3/2016,11843.62031
2/4/2016,11843.95451
2/5/2016,12028.45752
2/6/2016,12394.40709
2/7/2016,12343.74769
2/8/2016,13019.59041
2/9/2016,12831.04636
2/10/2016,12379.89332
2/11/2016,11848.74241
2/12/2016,12304.03806
2/13/2016,12207.55805
2/14/2016,11753.0246
2/15/2016,11882.99326
2/16/2016,12236.96404
2/17/2016,12604.77026
2/18/2016,12485.30081
2/19/2016,12792.50014
2/20/2016,12327.59046
2/21/2016,11566.96066
2/22/2016,11406.33297
2/23/2016,11487.37404
2/24/2016,11667.52833
2/25/2016,11879.29583
2/26/2016,12452.89875
2/27/2016,12534.22599
2/28/2016,11906.88866
2/29/2016,11789.3312
3/1/2016,11661.27583
3/2/2016,11643.22255
3/3/2016,11704.1158
3/4/2016,12237.90003
3/5/2016,12367.46411
3/6/2016,11927.69695
3/7/2016,11982.70964
3/8/2016,11775.60885
3/9/2016,11585.12125
3/10/2016,11528.69128
3/11/2016,12190.55007
3/12/2016,12457.91094
3/13/2016,12093.94054
3/14/2016,12219.74771
